DATE,Food,Smoke,Drugs,MedEq,Telcm
195511,3.75,3.79,6.05,8.61,1.63
195512,1,1.71,6.23,6.23,0.86
195601,-2.11,0.21,-5.88,-12.56,1.87
195602,2.23,-3.19,7.96,11.47,0.16
195603,1.88,1.63,7.45,5.26,1.43
195604,-0.05,7.05,3.65,-6.48,-0.88
195605,-2.72,-4.07,-1.5,1.87,-1.06
195606,0.47,0.66,3.38,6.01,1.28
195607,2.6,1.82,3.41,-0.33,2.65
195608,-1.92,-2.11,-2.92,-4.81,-1.39
195609,-3.21,-4.16,-3.64,-4.17,-2.84
195610,-0.27,2.72,0.89,-3.02,-1.4
195611,-0.04,-1.04,-1.74,3.94,1.53
195612,0.9,2.41,6.33,3.02,2.56
195701,1.08,4.59,-2.29,-2.03,2.9
195702,-1.21,-1.14,-0.75,4.31,0.33
195703,1.14,1.1,8.56,4.47,1.51
195704,1.73,0.49,5.76,1.64,0.44
195705,1.08,-0.88,5.14,0.55,1.04
195706,-0.83,-1.56,6.93,0.48,-2.09
195707,2.37,-0.48,2.06,9.93,-0.24
195708,-2.36,2.89,-2.66,-6.93,-0.12
195709,-1.32,5.36,-3.16,-1.47,-2.22
195710,-1.68,0.99,-0.55,-2.42,-2.1
195711,3.62,3.83,8.81,5.61,1.49
195712,2,3.18,-0.61,1.22,1.26
195801,6.68,5.98,-1.1,8.61,4.26
195802,2.66,0.35,5.48,-1.41,0.66
195803,3.83,6.33,8.04,9.77,1.17
195804,2.88,4.54,6.92,1.81,2.7
195805,3.25,0.59,1.73,-2.47,2.11
195806,2.62,3.98,3.95,-2,1.66
195807,1.49,-0.03,5.89,7.36,0.9
195808,1.95,2.29,2.02,1.34,2.41
195809,2.3,8,12.09,5.54,5.04
195810,1.48,1.7,0.68,7.56,1.46
195811,5.15,1.77,8.07,7.42,2.14
195812,3.2,3.77,4.5,6.33,13.28
195901,2.58,8.76,-0.76,1.71,3.91
195902,2.64,0.75,4.25,-2.28,4.85
195903,-0.71,2.35,4.1,6.93,-0.43
195904,1.2,3.95,13.18,-8.94,4.63
195905,4.69,-5.87,-1.24,2.4,-1.04
195906,-0.93,4.59,5.71,24.1,-1.04
195907,3.83,0.75,5.1,-2.15,0.6
195908,-0.1,3.13,-4.03,5.71,0.61
195909,-2.98,-3.02,-4.96,-4.81,-0.96
195910,2.61,6,2.08,6.95,1.3
195911,0.09,2.07,6.05,-1.9,-1.23
195912,3,-2.68,-1.39,-7.06,4.31
196001,-4.16,-1.72,-6.5,-3.88,0.95
196002,3.47,2.56,0.14,3.69,8.36
196003,-1.7,0.17,1.92,-4.21,0.14
196004,1.07,1.54,1.71,0.29,-1.05
196005,7.61,2.71,13.59,16.3,3.32
196006,6.81,4.97,-0.17,0.17,-0.34
196007,-1.72,4.72,-4.18,1.52,0.1
196008,5.71,5.37,2.46,2.59,7.11
196009,-2.74,-1.93,-8.59,-10.6,-5.91
196010,2.21,4.09,-3.99,4.56,0.14
196011,9.91,5.57,3.73,8.72,4.19
196012,4.75,3.7,6.35,4.36,12.45
196101,4.75,8.96,5.35,16.11,7.89
196102,4.59,5.55,4.43,15.16,0.75
196103,4.86,5.8,3.95,2.05,7.43
196104,-1.18,-0.06,0.4,-8.7,0.8
196105,4.71,3.56,2.42,0.41,-1.04
196106,-1.44,4.17,-3.49,-1.92,-3.99
196107,3.09,6.13,3.97,-2.6,6.43
196108,5.89,7.88,3.73,5.66,0.21
196109,0.26,0.1,-0.9,-5.62,-2.72
196110,4.43,7.24,3.6,4.55,0.2
196111,5.54,8.18,2.89,6.7,8.52
196112,-3.99,-5.93,-1.72,-5.64,3.32
196201,-6.56,-4.04,-4.9,-3.17,-6.07
196202,0.13,0.88,3.73,3.95,4.11
196203,1.78,-6.47,0.44,-0.08,-2.94
196204,-4.47,-12.77,-11.42,-10.06,-4.68
196205,-11,-13.9,-10.94,-8.51,-7.13
196206,-8.48,-8.13,-13.64,-2.79,-8.52
196207,7.18,0.96,8.6,-2.51,7.23
196208,0.05,1.65,-8.21,-3.84,1.58
196209,-4.65,-7.56,-4.07,-3.79,-6.05
196210,-2.33,-6.64,2.69,-0.54,2.77
196211,12.16,11.46,18.11,10.53,7.16
196212,2.9,-2.17,1.1,-2.24,1.08
196301,6.52,1.72,5.35,10.35,4.13
196302,-2.61,-3.36,-2.86,1.55,-1.09
196303,1.84,7.74,1.26,0.07,1.94
196304,0.76,6.3,8,2.21,3.73
196305,2.96,-3,-0.6,4.95,-0.64
196306,-0.12,-6.27,-1.18,0.26,-1.94
196307,-0.47,-2.54,0.74,-1.26,-0.25
196308,4.74,7.15,9.63,8.77,4.28
196309,-1.53,-4.23,-4.12,-3.44,2.36
196310,2.7,5.79,2.8,9.56,3.43
196311,-0.4,-5.63,-1.9,0.89,4.14
196312,2.44,5.98,1.99,-2.81,-0.09
